"icao","delivery","ground","tower","departure","approach","center"
"00CA",\N,\N,\N,\N,\N,\N
"01FL",\N,\N,\N,\N,\N,\N
"04CA",\N,\N,\N,\N,\N,\N
"04MS",\N,\N,\N,\N,\N,\N
"04NV",\N,\N,\N,\N,\N,\N
"05CL",\N,\N,\N,\N,\N,\N
"06FA",\N,\N,\N,\N,\N,\N
"06MO",\N,\N,\N,\N,\N,\N
"07FA",\N,\N,\N,\N,\N,\N
"07MT",\N,\N,\N,\N,\N,\N
"07TE",\N,\N,\N,\N,\N,\N
"09CL",\N,\N,\N,\N,\N,\N
"09FA",\N,\N,\N,\N,\N,\N
"09TS",\N,\N,\N,\N,\N,\N
"0AZ2",\N,\N,\N,\N,\N,\N
"0C2",\N,\N,\N,\N,\N,\N
"0CA9",\N,\N,\N,\N,\N,\N
"0ID2",\N,\N,\N,\N,\N,\N
"0TE4",\N,\N,\N,\N,\N,\N
"0TE5",\N,\N,\N,\N,\N,\N
"0TE7",\N,\N,\N,\N,\N,\N
"0TX1",\N,\N,\N,\N,\N,\N
"11II",\N,\N,\N,\N,\N,\N
"12NC",\N,\N,\N,\N,\N,\N
"13NC",\N,\N,\N,\N,\N,\N
"14NC",\N,\N,\N,\N,\N,\N
"14TS",\N,\N,\N,\N,\N,\N
"15AR",\N,\N,\N,\N,\N,\N
"15FL",\N,\N,\N,\N,\N,\N
"16X",\N,\N,\N,\N,\N,\N
"18AZ",\N,\N,\N,\N,\N,\N
"18TA",\N,\N,\N,\N,\N,\N
"18TE",\N,\N,\N,\N,\N,\N
"1AZ0",\N,\N,\N,\N,\N,\N
"1CA1",\N,\N,\N,\N,\N,\N
"1CD2",\N,\N,\N,\N,\N,\N
"1GA0",\N,\N,\N,\N,\N,\N
"1L4",\N,\N,\N,\N,\N,\N
"1MS8",\N,\N,\N,\N,\N,\N
"1WA6",\N,\N,\N,\N,\N,\N
"1XS8",\N,\N,\N,\N,\N,\N
"20GA",\N,\N,\N,\N,\N,\N
"22XS",\N,\N,\N,\N,\N,\N
"23XS",\N,\N,\N,\N,\N,\N
"24CL",\N,\N,\N,\N,\N,\N
"25NC",\N,\N,\N,\N,\N,\N
"25TA",\N,\N,\N,\N,\N,\N
"25TS",\N,\N,\N,\N,\N,\N
"27AZ",\N,\N,\N,\N,\N,\N
"28TA",\N,\N,\N,\N,\N,\N
"29AZ",\N,\N,\N,\N,\N,\N
"29TX",\N,\N,\N,\N,\N,\N
"2CL9",\N,\N,\N,\N,\N,\N
"2CN4",\N,\N,\N,\N,\N,\N
"2D7",\N,\N,\N,\N,\N,\N
"2IG4",\N,\N,\N,\N,\N,\N
"2OH9",\N,\N,\N,\N,\N,\N
"2OR1",\N,\N,\N,\N,\N,\N
"2TA6",\N,\N,\N,\N,\N,\N
"2TA8",\N,\N,\N,\N,\N,\N
"2TX3",\N,\N,\N,\N,\N,\N
"2TX4",\N,\N,\N,\N,\N,\N
"2VG2",\N,\N,\N,\N,\N,\N
"2XA0",\N,\N,\N,\N,\N,\N
"2XS3",\N,\N,\N,\N,\N,\N
"2XS5",\N,\N,\N,\N,\N,\N
"31VA",\N,\N,\N,\N,\N,\N
"36CA",\N,\N,\N,\N,\N,\N
"36WI",\N,\N,\N,\N,\N,\N
"38XS",\N,\N,\N,\N,\N,\N
"3B3",\N,\N,\N,\N,\N,\N
"3MO4",\N,\N,\N,\N,\N,\N
"3OH0",\N,\N,\N,\N,\N,\N
"3TA0",\N,\N,\N,\N,\N,\N
"3TA5",\N,\N,\N,\N,\N,\N
"3TA6",\N,\N,\N,\N,\N,\N
"3TS1",\N,\N,\N,\N,\N,\N
"3XS8",\N,\N,\N,\N,\N,\N
"42KY",\N,\N,\N,\N,\N,\N
"46CN",\N,\N,\N,\N,\N,\N
"48Y",\N,\N,\N,\N,\N,\N
"4AK6",\N,\N,\N,\N,\N,\N
"4TA0",\N,\N,\N,\N,\N,\N
"4TA6",\N,\N,\N,\N,\N,\N
"4TE9",\N,\N,\N,\N,\N,\N
"4TS8",\N,\N,\N,\N,\N,\N
"55XS",\N,\N,\N,\N,\N,\N
"57AZ",\N,\N,\N,\N,\N,\N
"57FA",\N,\N,\N,\N,\N,\N
"58CL",\N,\N,\N,\N,\N,\N
"5CA7",\N,\N,\N,\N,\N,\N
"5K2",\N,\N,\N,\N,\N,\N
"5KY4",\N,\N,\N,\N,\N,\N
"5KY7",\N,\N,\N,\N,\N,\N
"5LS9",\N,\N,\N,\N,\N,\N
"5TE0",\N,\N,\N,\N,\N,\N
"60IA",\N,\N,\N,\N,\N,\N
"60TE",\N,\N,\N,\N,\N,\N
"63XS",\N,\N,\N,\N,\N,\N
"67CA",\N,\N,\N,\N,\N,\N
"68CA",\N,\N,\N,\N,\N,\N
"68TS",\N,\N,\N,\N,\N,\N
"69TX",\N,\N,\N,\N,\N,\N
"6F1",\N,\N,\N,\N,\N,\N
"6NC1",\N,\N,\N,\N,\N,\N
"6TE6",\N,\N,\N,\N,\N,\N
"72CL",\N,\N,\N,\N,\N,\N
"72MI",\N,\N,\N,\N,\N,\N
"72TA",\N,\N,\N,\N,\N,\N
"72TE",\N,\N,\N,\N,\N,\N
"74TE",\N,\N,\N,\N,\N,\N
"75FL",\N,\N,\N,\N,\N,\N
"75TA",\N,\N,\N,\N,\N,\N
"75TX",\N,\N,\N,\N,\N,\N
"76TA",\N,\N,\N,\N,\N,\N
"77XS",\N,\N,\N,\N,\N,\N
"7B3",\N,\N,\N,\N,\N,\N
"7CA2",\N,\N,\N,\N,\N,\N
"7CO0",\N,\N,\N,\N,\N,\N
"7FL6",\N,\N,\N,\N,\N,\N
"7IN8",\N,\N,\N,\N,\N,\N
"7NC2",\N,\N,\N,\N,\N,\N
"7PA3",\N,\N,\N,\N,\N,\N
"7S3",\N,\N,\N,\N,\N,\N
"7TE2",\N,\N,\N,\N,\N,\N
"7TE6",\N,\N,\N,\N,\N,\N
"7TE7",\N,\N,\N,\N,\N,\N
"7TN5",\N,\N,\N,\N,\N,\N
"7TX0",\N,\N,\N,\N,\N,\N
"82IS",\N,\N,\N,\N,\N,\N
"83TX",\N,\N,\N,\N,\N,\N
"85TX",\N,\N,\N,\N,\N,\N
"87MO",\N,\N,\N,\N,\N,\N
"89NY",\N,\N,\N,\N,\N,\N
"89TS",\N,\N,\N,\N,\N,\N
"8CA8",\N,\N,\N,\N,\N,\N
"8TA0",\N,\N,\N,\N,\N,\N
"8TS9",\N,\N,\N,\N,\N,\N
"8XS8",\N,\N,\N,\N,\N,\N
"91TS",\N,\N,\N,\N,\N,\N
"91TX",\N,\N,\N,\N,\N,\N
"92CA",\N,\N,\N,\N,\N,\N
"92XS",\N,\N,\N,\N,\N,\N
"94TX",\N,\N,\N,\N,\N,\N
"95TX",\N,\N,\N,\N,\N,\N
"97FL",\N,\N,\N,\N,\N,\N
"99CL",\N,\N,\N,\N,\N,\N
"9CA7",\N,\N,\N,\N,\N,\N
"9CL2",\N,\N,\N,\N,\N,\N
"9NC0",\N,\N,\N,\N,\N,\N
"9OI5",\N,\N,\N,\N,\N,\N
"9SD9",\N,\N,\N,\N,\N,\N
"9TE2",\N,\N,\N,\N,\N,\N
"9TX5",\N,\N,\N,\N,\N,\N
"AF-0020",\N,\N,\N,\N,\N,\N
"AGGH",\N,\N,\N,\N,\N,\N
"AGGM",\N,\N,\N,\N,\N,\N
"AL-0013",\N,\N,\N,\N,\N,\N
"AL12",\N,\N,\N,\N,\N,\N
"ANYN",\N,\N,\N,\N,\N,\N
"AQ-0013",\N,\N,\N,\N,\N,\N
"AQ-0014",\N,\N,\N,\N,\N,\N
"AR-0009",\N,\N,\N,\N,\N,\N
"AR-0035",\N,\N,\N,\N,\N,\N
"AR-0038",\N,\N,\N,\N,\N,\N
"AR-0079",\N,\N,\N,\N,\N,\N
"AR-0137",\N,\N,\N,\N,\N,\N
"AR-0158",\N,\N,\N,\N,\N,\N
"AR-0305",\N,\N,\N,\N,\N,\N
"AR-0399",\N,\N,\N,\N,\N,\N
"AR-0736",\N,\N,\N,\N,\N,\N
"AR-0743",\N,\N,\N,\N,\N,\N
"AR-0744",\N,\N,\N,\N,\N,\N
"AR-0748",\N,\N,\N,\N,\N,\N
"AU-0005",\N,\N,\N,\N,\N,\N
"AU-0014",\N,\N,\N,\N,\N,\N
"AU-0018",\N,\N,\N,\N,\N,\N
"AU-0038",\N,\N,\N,\N,\N,\N
"AU-0044",\N,\N,\N,\N,\N,\N
"AU-0045",\N,\N,\N,\N,\N,\N
"AU-0050",\N,\N,\N,\N,\N,\N
"AU-0054",\N,\N,\N,\N,\N,\N
"AU-0060",\N,\N,\N,\N,\N,\N
"AU-0220",\N,\N,\N,\N,\N,\N
"AU-0221",\N,\N,\N,\N,\N,\N
"AU-0225",\N,\N,\N,\N,\N,\N
"AU-0251",\N,\N,\N,\N,\N,\N
"AU-0324",\N,\N,\N,\N,\N,\N
"AU-0351",\N,\N,\N,\N,\N,\N
"AU-0428",\N,\N,\N,\N,\N,\N
"AU-0429",\N,\N,\N,\N,\N,\N
"AU-0430",\N,\N,\N,\N,\N,\N
"AU-0627",\N,\N,\N,\N,\N,\N
"AU-0664",\N,\N,\N,\N,\N,\N
"AU-0665",\N,\N,\N,\N,\N,\N
"AU-0666",\N,\N,\N,\N,\N,\N
"AU-0671",\N,\N,\N,\N,\N,\N
"AU-0672",\N,\N,\N,\N,\N,\N
"AU-0673",\N,\N,\N,\N,\N,\N
"AU-0677",\N,\N,\N,\N,\N,\N
"AU-0678",\N,\N,\N,\N,\N,\N
"AU-0679",\N,\N,\N,\N,\N,\N
"AU-0680",\N,\N,\N,\N,\N,\N
"AU-0681",\N,\N,\N,\N,\N,\N
"AU-0685",\N,\N,\N,\N,\N,\N
"AU-0686",\N,\N,\N,\N,\N,\N
"AU-0687",\N,\N,\N,\N,\N,\N
"AU-0688",\N,\N,\N,\N,\N,\N
"AU-0689",\N,\N,\N,\N,\N,\N
"AU-0690",\N,\N,\N,\N,\N,\N
"AU-0691",\N,\N,\N,\N,\N,\N
"AU-0692",\N,\N,\N,\N,\N,\N
"AU-0693",\N,\N,\N,\N,\N,\N
"AU-0703",\N,\N,\N,\N,\N,\N
"AYBK",\N,\N,\N,\N,\N,\N
"AYDU",\N,\N,\N,\N,\N,\N
"AYGA",\N,\N,\N,\N,\N,\N
"AYGN",\N,\N,\N,\N,\N,\N
"AYHK",\N,\N,\N,\N,\N,\N
"AYKM",\N,\N,\N,\N,\N,\N
"AYKV",\N,\N,\N,\N,\N,\N
"AYMD",\N,\N,\N,\N,\N,\N
"AYMH",\N,\N,\N,\N,\N,\N
"AYMO",\N,\N,\N,\N,\N,\N
"AYNZ",\N,\N,\N,\N,\N,\N
"AYPY",\N,\N,\N,\N,\N,\N
"AYTK",\N,\N,\N,\N,\N,\N
"AYVN",\N,\N,\N,\N,\N,\N
"AYWK",\N,\N,\N,\N,\N,\N
"AZ82",\N,\N,\N,\N,\N,\N
"BA-0001",\N,\N,\N,\N,\N,\N
"BGBW",\N,\N,\N,\N,\N,\N
"BGCO",\N,\N,\N,\N,\N,\N
"BGGH",\N,\N,\N,\N,\N,\N
"BGNN",\N,\N,\N,\N,\N,\N
"BGNO",\N,\N,\N,\N,\N,\N
"BGNS",\N,\N,\N,\N,\N,\N
"BGQQ",\N,\N,\N,\N,\N,\N
"BGSF",\N,\N,\N,\N,\N,\N
"BGSS",\N,\N,\N,\N,\N,\N
"BGTL",\N,\N,\N,\N,\N,\N
"BGUK",\N,\N,\N,\N,\N,\N
"BIAR",\N,\N,\N,\N,\N,\N
"BIBD",\N,\N,\N,\N,\N,\N
"BIEG",\N,\N,\N,\N,\N,\N
"BIHN",\N,\N,\N,\N,\N,\N
"BIHU",\N,\N,\N,\N,\N,\N
"BIIS",\N,\N,\N,\N,\N,\N
"BIKF",\N,\N,\N,\N,\N,\N
"BIMS",\N,\N,\N,\N,\N,\N
"BIPA",\N,\N,\N,\N,\N,\N
"BIRK",\N,\N,\N,\N,\N,\N
"BISA",\N,\N,\N,\N,\N,\N
"BISI",\N,\N,\N,\N,\N,\N
"BISS",\N,\N,\N,\N,\N,\N
"BITN",\N,\N,\N,\N,\N,\N
"BIVM",\N,\N,\N,\N,\N,\N
"BKPR",\N,\N,\N,\N,\N,\N
"BR-1941",\N,\N,\N,\N,\N,\N
"BR-1959",\N,\N,\N,\N,\N,\N
"BR-1960",\N,\N,\N,\N,\N,\N
"BR-1961",\N,\N,\N,\N,\N,\N
"BR-1962",\N,\N,\N,\N,\N,\N
"BS-0018",\N,\N,\N,\N,\N,\N
"BY-9935",\N,\N,\N,\N,\N,\N
"CA-0084",\N,\N,\N,\N,\N,\N
"CA-0088",\N,\N,\N,\N,\N,\N
"CA-0118",\N,\N,\N,\N,\N,\N
"CA-0159",\N,\N,\N,\N,\N,\N
"CA-0304",\N,\N,\N,\N,\N,\N
"CA-0307",\N,\N,\N,\N,\N,\N
"CA-0380",\N,\N,\N,\N,\N,\N
"CA-0393",\N,\N,\N,\N,\N,\N
"CA-0430",\N,\N,\N,\N,\N,\N
"CA-0444",\N,\N,\N,\N,\N,\N
"CA-0454",\N,\N,\N,\N,\N,\N
"CA-0456",\N,\N,\N,\N,\N,\N
"CA-0457",\N,\N,\N,\N,\N,\N
"CA-0463",\N,\N,\N,\N,\N,\N
"CA-0464",\N,\N,\N,\N,\N,\N
"CA-0497",\N,\N,\N,\N,\N,\N
"CA-0506",\N,\N,\N,\N,\N,\N
"CA-0508",\N,\N,\N,\N,\N,\N
"CA-0516",\N,\N,\N,\N,\N,\N
"CA-0517",\N,\N,\N,\N,\N,\N
"CA-0523",\N,\N,\N,\N,\N,\N
"CA-0524",\N,\N,\N,\N,\N,\N
"CA-0526",\N,\N,\N,\N,\N,\N
"CA-0534",\N,\N,\N,\N,\N,\N
"CA-0684",\N,\N,\N,\N,\N,\N
"CA-0750",\N,\N,\N,\N,\N,\N
"CA-0772",\N,\N,\N,\N,\N,\N
"CA-0903",\N,\N,\N,\N,\N,\N
"CA-1018",\N,\N,\N,\N,\N,\N
"CA-1019",\N,\N,\N,\N,\N,\N
"CA-1029",\N,\N,\N,\N,\N,\N
"CA-1037",\N,\N,\N,\N,\N,\N
"CA-1043",\N,\N,\N,\N,\N,\N
