icao,delivery,ground,tower,departure,approach,center
CYAM,\N,CYAM_GND,CYAM_TWR,\N,\N,TOR_CTR
CYAY,\N,\N,\N,\N,\N,CZQX_CTR
CYAZ,\N,\N,CYZT_TWR,\N,\N,\N
CYBG,CYBG_DEL,CYBG_GND,CYBG_TWR,\N,CYBG_APP,MTL_CTR
CYBL,\N,\N,CYBL_TWR,\N,\N,\N
CYCD,\N,CYCD_GND,CYCD_TWR,\N,\N,\N
CYCG,\N,\N,CYCG_TWR,\N,\N,\N
CYDF,\N,\N,\N,\N,\N,CZQX_CTR
CYEG,\N,\N,\N,CYEG_DEP,CZEG_APP,CZEG_CTR
CYFC,\N,CYFC_GND,CYFC_TWR,\N,CYSJ_APP,CZQM_CTR
CYHM,\N,CYHM_GND,CYHM_TWR,\N,\N,TOR_CTR
CYHU,\N,CYHU_GND,CYHU_TWR,CYUL_DEP,\N,MTL_CTR
CYHZ,CYHZ_DEL,CYHZ_GND,CYHZ_TWR,\N,CYHZ_APP,CZQM_CTR
CYJN,\N,CYJN_GND,CYJN_TWR,CYUL_DEP,\N,MTL_CTR
CYJT,\N,\N,\N,\N,\N,CZQX_CTR
CYKA,CYKA_DEL,\N,CYKA_TWR,\N,\N,\N
CYKF,\N,CYKF_GND,CYKF_TWR,\N,\N,TOR_CTR
CYLW,\N,CYLW_GND,CYLW_TWR,\N,\N,\N
CYMJ,CYMJ_DEL,CYMJ_GND,CYMJ_TWR,\N,CYMJ_APP,CZWG_CTR
CYMX,\N,CYMX_GND,CYMX_TWR,CYUL_DEP,\N,MTL_CTR
CYND,\N,\N,\N,CYOW_DEP,\N,MTL_CTR
CYNJ,\N,CYNJ_GND,CYNJ_TWR,\N,\N,\N
CYOO,\N,CYOO_GND,CYOO_TWR,\N,\N,TOR_CTR
CYOW,CYOW_DEL,CYOW_GND,CYOW_TWR,CYOW_DEP,CYOW_APP,MTL_CTR
CYPD,\N,\N,\N,\N,\N,CZQM_CTR
CYPG,\N,CYPG_GND,CYPG_TWR,CYWG_DEP,CYWG_APP,CZWG_CTR
CYQB,\N,CYQB_GND,CYQB_TWR,\N,CYQB_APP,MTL_CTR
CYQG,\N,YQG_GND,YQG_TWR,\N,\N,\N
CYQI,\N,\N,\N,\N,\N,CZQM_CTR
CYQM,\N,CYQM_GND,CYQM_TWR,\N,CYSJ_APP,CZQM_CTR
CYQQ,CYQQ_DEL,CYQQ_GND,CYQQ_TWR,\N,CYQQ_APP,\N
CYQR,\N,CYQR_GND,CYQR_TWR,\N,\N,CZWG_CTR
CYQT,\N,CYQT_GND,CYQT_TWR,\N,CYQT_APP,CZWG_CTR
CYQX,\N,CYQX_GND,CYQX_TWR,\N,CYQX_APP,CZQX_CTR
CYQY,\N,\N,\N,\N,\N,CZQM_CTR
CYQZ,\N,\N,CYWL_TWR,\N,\N,\N
CYSJ,\N,\N,\N,\N,CYSJ_APP,CZQM_CTR
CYTR,\N,CYTR_GND,CYTR_TWR,\N,\N,TOR_CTR
CYTZ,\N,CYTZ_GND,CYTZ_TWR,\N,TOR_APP,TOR_CTR
CYUL,CYUL_DEL,CYUL_GND,CYUL_TWR,CYUL_DEP,CYUL_APP,MTL_CTR
CYVR,CYVR_DEL,CYVR_GND,CYVR_TWR,CYVR_DEP,CYVR_APP,\N
CYWG,CYWG_DEL,CYWG_GND,CYWG_TWR,CYWG_DEP,CYWG_APP,CZWG_CTR
CYWL,\N,\N,CYWL_TWR,\N,\N,\N
CYXC,\N,\N,CYXC_TWR,\N,\N,\N
CYXE,\N,CYXE_GND,CYXE_TWR,\N,CYXE_APP,CZWG_CTR
CYXS,\N,CYXS_GND,CYXS_TWR,\N,\N,\N
CYXT,\N,\N,CYXT_TWR,\N,\N,\N
CYXU,\N,CYXU_GND,CYXU_TWR,\N,\N,TOR_CTR
CYXX,\N,CYXX_GND,CYXX_TWR,\N,CYYJ_APP,\N
CYYC,\N,\N,\N,CYYC_DEP,CZEG_APP,CZEG_CTR
CYYD,\N,\N,CYYD_TWR,\N,\N,\N
CYYF,\N,CYYF_GND,CYYF_TWR,\N,\N,\N
CYYG,\N,\N,\N,\N,CYSJ_APP,CZQM_CTR
CYYJ,CYYJ_DEL,CYYJ_GND,CYYJ_TWR,\N,\N,\N
CYYR,CYYR_DEL,CYYR_GND,CYYR_TWR,\N,CYYR_APP,CZQX_CTR
CYYT,\N,CYYT_GND,CYYT_TWR,\N,CYYT_APP,CZQX_CTR
CYYZ,CYYZ_DEL,CYYZ_GND,CYYZ_TWR,\N,TOR_APP,TOR_CTR
CYZP,\N,\N,CYXT_TWR,\N,\N,\N
CYZT,\N,\N,CYZT_TWR,\N,\N,\N
CYZX,CYZX_DEL,CYZX_GND,CYZX_TWR,\N,CYZX_APP,CZQM_CTR
CZBB,\N,CZBB_GND,CZBB_TWR,\N,\N,\N
EBAW,\N,EBAW_GND,EBAW_TWR,EBBR_DEP,EBBR_APP,EBBU_CTR
EBBR,EBBR_DEL,EBBR_GND,EBBR_TWR,EBBR_DEP,EBBR_APP,EBBU_CTR
EBCI,\N,EBCI_GND,EBCI_TWR,EBBR_DEP,EBCI_APP,EBBU_CTR
EBKT,\N,\N,\N,\N,\N,EBKT_CTR
EBLG,\N,EBLG_GND,EBLG_TWR,\N,EBLG_APP,EBBU_CTR
EBOS,\N,EBOS_GND,EBOS_TWR,\N,EBOS_APP,EBBU_CTR
EDDF,EDDF_DEL,EDDF_GND,EDDF_TWR,EDDF_DEP,EDDF_APP,\N
EDDM,EDDM_DEL,EDDM_GND,EDDM_TWR,\N,EDDM_APP,EDMM_CTR
EDDN,\N,EDDN_GND,EDDN_TWR,\N,EDDN_APP,EDMM_CTR
EDJA,\N,EDJA_GND,EDJA_TWR,\N,EDMM_APP,EDMM_CTR
EEKA,\N,\N,EEKA_TWR,\N,\N,EETT_CTR
EEKE,\N,\N,EEKE_TWR,\N,\N,EETT_CTR
EEPU,\N,\N,EEPU_TWR,\N,\N,EETT_CTR
EETN,\N,\N,EETN_TWR,\N,EETN_APP,EETT_CTR
EETU,\N,\N,EETU_TWR,\N,\N,EETT_CTR
EFET,\N,\N,EFET_TWR,\N,\N,EFIN_CTR
EFHA,\N,\N,EFHA_TWR,\N,EFHA_APP,EFIN_CTR
EFHK,EFHK_DEL,EFHK_GND,EFHK_TWR,\N,EFHK_APP,EFIN_CTR
EFIV,\N,\N,EFIV_TWR,\N,\N,EFIN_CTR
EFJY,\N,EFJY_GND,EFJY_TWR,\N,EFJY_APP,EFIN_CTR
EFKE,\N,\N,EFKE_TWR,\N,\N,EFIN_CTR
EFKI,\N,\N,EFKI_TWR,\N,\N,EFIN_CTR
EFKK,\N,\N,EFKK_TWR,\N,\N,EFIN_CTR
EFKS,\N,\N,EFKS_TWR,\N,\N,EFIN_CTR
EFKT,\N,\N,EFKT_TWR,\N,EFKT_APP,EFIN_CTR
EFKU,\N,\N,EFKU_TWR,\N,EFKU_APP,EFIN_CTR
EFMA,\N,\N,EFMA_TWR,\N,EFMA_APP,EFIN_CTR
EFMI,\N,\N,EFMI_TWR,\N,\N,EFIN_CTR
EFOU,\N,\N,EFOU_TWR,\N,EFOU_APP,EFIN_CTR
EFPO,\N,\N,EFPO_TWR,\N,EFPO_APP,EFIN_CTR
EFRO,EFRO_DEL,\N,EFRO_TWR,\N,EFRO_APP,EFIN_CTR
EFSA,\N,\N,EFSA_TWR,\N,\N,EFIN_CTR
EFSI,\N,\N,EFSI_TWR,\N,\N,EFIN_CTR
EFTP,\N,EFTP_GND,EFTP_TWR,\N,EFTP_APP,EFIN_CTR
EFTU,\N,\N,EFTU_TWR,\N,EFTU_APP,EFIN_CTR
